source,name,address,rating,reviews,info
2GIS,TORENT,"Мағжан Жұмабаев даңғылы, 31 ст1, Астана",4.9,1038 баға,Жалға беру орталығы ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Alit,"Тұран даңғылы, 30а, Астана",4.9,45 баға,Бас кеңсе ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Строительный магазин,,4.7,27 баға,"Құрылыс материалдары Северное сияние ТҮК, Достық көшесі, 5, Астана Құрылыс материалдары"
2GIS,Формула чистого дома,,4.7,50 баға,"Құрылыс материалдары Северное сияние ТҮК, Достық көшесі, 5, Астана Құрылыс материалдары"
2GIS,Qural-Saiman,"3-ші шағын ауданы, 18а, Астана",4.3,194 баға,Онлайн-гипермаркет строительных инструментов ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,МЕГАСТРОЙ,,4.5,5171 баға,"Құрылыс және әрлеу материалдарының гипермаркеті Әлмұқан Сембинов көшесі, 19/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,ПРОФ ИНСТРУМЕНТ,"Бауыржан Момышұлы даңғылы, 28/14, Астана",4.8,371 баға,"Официальный дилер Bosch, Stihl, Karcher ​​3 филиал Құрылыс материалдары · Жеткізу"
2GIS,РемСтрой,,4.5,176 баға,"Құрылыс материалдары Тұран даңғылы, 55, Астана Құрылыс материалдары · Жеткізу"
2GIS,Строй-М,,4.7,66 баға,"Құрылыс материалдары Керей, Жәнібек хандар көшесі, 40, Астана Құрылыс материалдары"
2GIS,Орда Строй,,4.8,51 баға,"Құрылыс материалдары Жошы хан көшесі, 12/3, Астана Құрылыс материалдары"
2GIS,Stroy city,"Жошы хан көшесі, 12, Астана",4.8,85 баға,Строительный магазин ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Правша,,4.9,169 баға,"Құрылыс дүкені Әбікен Бектұров көшесі, 3/3, Астана Құрылыс материалдары · Жеткізу"
2GIS,Niksan,,4.9,79 баға,"Магазин сантехники Жошы хан көшесі, 12/3, Астана Құрылыс материалдары · Жеткізу"
2GIS,Строй сити,"Керей, Жәнібек хандар көшесі, 44/3, Астана",4.5,27 баға,Құрылыс дүкені ​​2 филиал Құрылыс материалдары Жөндеу және құрылыс жұмыстарының барлығы есікке дейін жеткіземіз! Жарнама WhatsApp-қа жазу
2GIS,ПРОФ ИНСТРУМЕНТ,"Әл-Фараби даңғылы, 5, Астана",5,42 баға,"Официальный дилер Bosch, Stihl, Karcher ​​3 филиал Құрылыс материалдары · Жеткізу"
2GIS,Кокшестрой,"Жошы хан көшесі, 12/3, Астана",,,Строительный магазин ​​2 филиал Құрылыс материалдары
2GIS,M Stroy,,4.4,89 баға,"Құрылыс материалдары Көшесі Роза Бағланқызы, 1, Астана Құрылыс материалдары · Жеткізу Жабық"
2GIS,Кокше строй,"Бұқар жырау көшесі, 26, Астана",4.6,129 баға,Магазин строительных товаров ​​8 филиал Құрылыс материалдары
2GIS,СтройMart,,3.4,145 баға,"Құрылыс материалдары дүкені Шәмші Қалдаяқов көшесі, 1, Астана Құрылыс материалдары"
2GIS,Ecoton,"Silk Way Center БО, Тәуелсіздік даңғылы, 41, Астана",4.7,142 баға,Завод по производству автоклавного газоблока ​​2 филиал Құрылыс материалдары
2GIS,Акцепт Строй,,4.9,292 баға,"Құрылыс материалдары Қабанбай батыр даңғылы, 24, Астана Құрылыс материалдары"
2GIS,7 stroy,,5,18 баға,"Құрылыс материалдары Жошы хан көшесі, 12, Астана Құрылыс материалдары"
2GIS,Сапа,,4.6,1445 баға,"Құрылыс базары Шара Жиенқұлова көшесі, 9, Астана Құрылыс материалдары · Жеткізу"
2GIS,Техас,,4.8,94 баға,"Магазин строительных материалов Бауыржан Момышұлы даңғылы, 2в, Астана Құрылыс материалдары 40 минуттан кейін жабылады"
2GIS,Кокшестрой,,3.3,11 баға,"Құрылыс материалдары Тұран даңғылы, 39/3, Астана Құрылыс материалдары"
2GIS,Absolute,,4.4,492 баға,"Электр тауарлары мен құрылыс материалдары дүкені Мәңгілік Ел даңғылы, 51/5, Астана Құрылыс материалдары · Жеткізу"
2GIS,12 ай,"Алаш тас жолы, 20а, Астана",4.9,10639 баға,Құрылыс дүкені ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,El Stroy,,5,81 баға,"Магазин строительных материалов Тұран даңғылы, 55/11, Астана Құрылыс материалдары"
2GIS,А-строй,,4.8,68 баға,"Құрылыс материалдары Е-67 көше, 6, Астана Құрылыс материалдары · Жеткізу"
2GIS,Bolt&Gayka,,4.4,66 баға,"Құрылыс материалдары Бұқар жырау көшесі, 27, Астана Құрылыс материалдары"
2GIS,Stroy city,"Тұран даңғылы, 52/6, Астана",4.3,61 баға,Строительный магазин ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Строймаркет,"Әл-Фараби даңғылы, 9, Астана",4.6,128 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары
2GIS,Tara,,4.1,84 баға,"Құрылыс дүкені Дінмұхамед Қонаев көшесі, 35, Астана Құрылыс материалдары Жабық"
2GIS,Строй с нами,"Әл-Фараби даңғылы, 9/2, Астана",4.9,68 баға,Құрылыс материалдары дүкені ​​4 филиал Құрылыс материалдары · Жеткізу
2GIS,Kaizer,,4.8,40 баға,"Магазин лакокрасочных материалов и декоративных покрытий Төле би көшесі, 63, Астана Құрылыс материалдары"
2GIS,Jadi Stroy,"Тұран даңғылы, 57а, Астана",4.9,107 баға,Құрылыс материалдары ​​4 филиал Құрылыс материалдары Сүйікті құрылыс дүкендерінің желісі Жарнама Instagram
2GIS,Esil Stroymarket,,4.6,174 баға,"Құрылыс дүкені Ұлы Дала даңғылы, 33, Астана Құрылыс материалдары"
2GIS,NovaStroy,"Көше Е-36, 4, Астана",4.8,72 баға,Құрылыс материалдары дүкені ​​3 филиал Құрылыс материалдары Құрылыс пен жөндеуге арналған 10 000-нан астам өнім бәсекеге қабілетті Жарнама Instagram-н...
2GIS,Құрылыс дүкені,,4.7,173 баға,"Құрылыс материалдары Алексей Петров көшесі, 19, Астана Құрылыс материалдары"
2GIS,StroyImpulse,,4.2,60 баға,"Құрылыс материалдары Тұран даңғылы, 41/1, Астана Құрылыс материалдары 9 минуттан кейін жабылады"
2GIS,Батыс Строй,,,,"Құрылыс материалдары Бұқар жырау көшесі, 12/3, Астана Құрылыс материалдары Ашылуы жақында"
2GIS,PROREZ,,4.2,20 баға,"Құрылыс материалдары Мәңгілік Ел даңғылы, 51/2, Астана Құрылыс материалдары"
2GIS,Balga.kz,Астана,,,Центр по аренде инструментов ​​2 филиал Құрылыс материалдары
2GIS,Строитель,"Е 900 көшесі, 10, Астана",4.8,40 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары
2GIS,Домострой,,4.9,51 баға,"Құрылыс материалдары Тұран даңғылы, 57/7, Астана Құрылыс материалдары · Жеткізу"
